 Incident particle is a   Muon with M =   105.65839 MeV
 Index =   82:  lead
     Absorber with Z =  82,  A = 207.2(1), density = 11.350          
 Sternheimer coef:  a     k=m_s   x_0    x_1    I[eV]   Cbar  delta0 
                 0.0936  3.1608  0.3776  3.8073  823.0  6.2018 0.14
 ( Restricted energy loss for Tcut = 0.05 MeV
 Table written with (1X, 1P9E10.3,0PF8.4,1pE10.3)          post-Born included in pair prod
 *** Results below 10 MeV are not dependable ***
      T         p     Ionization  brems     pair     photonuc  Radloss    dE/dx   CSDA Range dltterm dE/dx|_R
    [MeV]    [MeV/c]  -----------------------[MeV cm^2/g]------------------------  [g/cm^2]  --[MeV cm^2/g]--
  2.500E+03 2.604E+03 1.414E+00 5.634E-03 2.206E-03 9.640E-04 8.804E-03 1.423E+00 1.923E+03 -0.1051 9.077E-01
  3.000E+03 3.104E+03 1.442E+00 7.163E-03 3.529E-03 1.164E-03 1.186E-02 1.454E+00 2.270E+03 -0.1175 9.162E-01
  3.500E+03 3.604E+03 1.466E+00 8.759E-03 4.986E-03 1.365E-03 1.511E-02 1.481E+00 2.611E+03 -0.1286 9.230E-01
  4.000E+03 4.104E+03 1.486E+00 1.041E-02 6.557E-03 1.569E-03 1.854E-02 1.504E+00 2.946E+03 -0.1385 9.286E-01
  4.500E+03 4.604E+03 1.503E+00 1.212E-02 8.229E-03 1.774E-03 2.212E-02 1.525E+00 3.276E+03 -0.1476 9.334E-01
  5.000E+03 5.105E+03 1.519E+00 1.387E-02 9.996E-03 1.977E-03 2.584E-02 1.545E+00 3.602E+03 -0.1559 9.375E-01
  5.500E+03 5.605E+03 1.533E+00 1.569E-02 1.186E-02 2.165E-03 2.972E-02 1.562E+00 3.923E+03 -0.1636 9.411E-01
  6.000E+03 6.105E+03 1.545E+00 1.756E-02 1.380E-02 2.352E-03 3.371E-02 1.579E+00 4.242E+03 -0.1708 9.442E-01
  7.000E+03 7.105E+03 1.567E+00 2.139E-02 1.789E-02 2.726E-03 4.201E-02 1.609E+00 4.869E+03 -0.1839 9.495E-01
  8.000E+03 8.105E+03 1.585E+00 2.535E-02 2.222E-02 3.098E-03 5.066E-02 1.636E+00 5.486E+03 -0.1955 9.538E-01
  9.000E+03 9.105E+03 1.601E+00 2.941E-02 2.675E-02 3.468E-03 5.964E-02 1.660E+00 6.092E+03 -0.2060 9.574E-01
  1.000E+04 1.011E+04 1.615E+00 3.358E-02 3.146E-02 3.837E-03 6.888E-02 1.683E+00 6.691E+03 -0.2156 9.604E-01
  1.200E+04 1.211E+04 1.638E+00 4.222E-02 4.112E-02 4.554E-03 8.790E-02 1.726E+00 7.864E+03 -0.2326 9.653E-01
  1.400E+04 1.411E+04 1.657E+00 5.116E-02 5.131E-02 5.265E-03 1.077E-01 1.765E+00 9.009E+03 -0.2473 9.692E-01
  1.700E+04 1.711E+04 1.681E+00 6.504E-02 6.740E-02 6.321E-03 1.388E-01 1.819E+00 1.068E+04 -0.2664 9.735E-01
  2.000E+04 2.011E+04 1.700E+00 7.941E-02 8.435E-02 7.367E-03 1.711E-01 1.871E+00 1.231E+04 -0.2827 9.768E-01
  2.500E+04 2.511E+04 1.725E+00 1.042E-01 1.154E-01 9.107E-03 2.287E-01 1.953E+00 1.492E+04 -0.3057 9.809E-01
  3.000E+04 3.011E+04 1.744E+00 1.299E-01 1.483E-01 1.083E-02 2.890E-01 2.033E+00 1.743E+04 -0.3248 9.837E-01
